import time: self [us] | cumulative | imported package
import time:       271 |        271 |                               asyncio.futures
import time:       212 |        212 |                               asyncio.protocols
import time:       420 |        420 |                                 asyncio.transports
import time:       239 |        239 |                                 asyncio.log
import time:      1041 |       1699 |                               asyncio.sslproto
import time:       111 |        111 |                                   asyncio.mixins
import time:       537 |        648 |                                 asyncio.locks
import time:       362 |        362 |                                   asyncio.timeouts
import time:       541 |        902 |                                 asyncio.tasks
import time:       262 |       1811 |                               asyncio.staggered
import time:       144 |        144 |                               asyncio.trsock
import time:       751 |       9058 |                             asyncio.base_events
import time:       227 |        227 |                             asyncio.runners
import time:       204 |        204 |                             asyncio.queues
import time:       325 |        325 |                             asyncio.streams
import time:       187 |        187 |                             asyncio.subprocess
import time:       138 |        138 |                             asyncio.taskgroups
import time:       139 |        139 |                             asyncio.threads
import time:       196 |        196 |                               asyncio.base_subprocess
import time:       499 |        499 |                               asyncio.selector_events
import time:       599 |       1294 |                             asyncio.unix_events
import time:       224 |      11791 |                           asyncio
import time:        18 |      11808 |                         asyncio.coroutines
import time:      6483 |      19195 |                       pydantic_core.core_schema
import time:       545 |      23422 |                     pydantic_core
import time:       166 |      23588 |                   pydantic.version
import time:       275 |      23862 |                 pydantic.warnings
import time:       235 |      24097 |               pydantic._migration
import time:       120 |        120 |                   typing_inspection
import time:       579 |        579 |                   dataclasses
import time:       910 |        910 |                   typing_inspection.typing_objects
import time:       574 |       2181 |                 typing_inspection.introspection
import time:       103 |        103 |                 pydantic._internal
import time:       307 |        307 |                     pydantic._internal._namespace_utils
import time:       304 |        610 |                   pydantic._internal._typing_extra
import time:       179 |        788 |                 pydantic._internal._repr
import time:       269 |       3340 |               pydantic.errors
import time:       285 |      27720 |             pydantic
import time:      5559 |       5559 |             annotated_types
import time:      1217 |       1217 |               fractions
import time:       633 |        633 |                   sysconfig
import time:       766 |        766 |                   _sysconfigdata__linux_x86_64-linux-gnu
import time:       493 |       1890 |                 zoneinfo._tzpath
import time:       160 |        160 |                 zoneinfo._common
import time:        78 |         78 |                 _zoneinfo
import time:       198 |       2325 |               zoneinfo
import time:        94 |         94 |               pydantic._internal._import_utils
import time:       348 |       3982 |             pydantic._internal._validators
import time:        85 |         85 |                   _wmi
import time:       594 |        679 |                 platform
import time:        34 |         34 |                 _uuid
import time:       420 |       1131 |               uuid
import time:        73 |         73 |                   pydantic._internal._internal_dataclass
import time:       875 |        948 |                 pydantic.aliases
import time:       326 |        326 |                   pydantic._internal._core_utils
import time:       365 |        365 |                   pydantic._internal._forward_ref
import time:       639 |        639 |                   pydantic._internal._utils
import time:       354 |       1682 |                 pydantic._internal._generics
