import time: self [us] | cumulative | imported package
import time:       212 |        212 |                               pydantic.v1.decorator
import time:       524 |        524 |                               pydantic.v1.env_settings
import time:       843 |        843 |                               pydantic.v1.tools
import time:       215 |      19975 |                             pydantic.v1
import time:     12868 |      39648 |                           langchain_core.utils.pydantic
import time:       450 |     131601 |                         langchain_core.utils.utils
import time:       144 |     131745 |                       langchain_core.messages
import time:       899 |     132643 |                     langchain_core.messages.content
import time:       350 |     132993 |                   langchain_core.language_models._utils
import time:       152 |     206767 |                 langchain_core.language_models
import time:      6438 |       6438 |                     langchain_protocol.protocol
import time:       200 |       6638 |                   langchain_protocol
import time:        20 |       6658 |                 langchain_protocol.protocol
import time:       139 |        139 |                   langchain_core.outputs
import time:       822 |        822 |                         langchain_core.load.serializable
import time:       135 |        957 |                       langchain_core.load._validation
import time:       232 |        232 |                       langchain_core.load.mapping
import time:        93 |         93 |                       langchain_core.load.validators
import time:       628 |       1908 |                     langchain_core.load.load
import time:       107 |       2015 |                   langchain_core.load
import time:       133 |        133 |                   langchain_core.utils._merge
import time:       122 |        122 |                   langchain_core.runnables
import time:       194 |        194 |                   concurrent.futures.thread
import time:       108 |        108 |                     langchain_core.callbacks
import time:       360 |        360 |                     langchain_core.callbacks.base
import time:       210 |        210 |                     langchain_core.callbacks.stdout
import time:       131 |        131 |                     langchain_core.globals
import time:        73 |         73 |                     langchain_core.utils.interactive_env
import time:       102 |        102 |                         xml
import time:       170 |        170 |                           xml.sax.handler
import time:       145 |        145 |                           xml.sax._exceptions
import time:       268 |        582 |                         xml.sax.xmlreader
import time:       148 |        832 |                       xml.sax
import time:       944 |       1775 |                     xml.sax.saxutils
import time:       253 |        253 |                     langchain_core.exceptions
import time:      3377 |       3377 |                       langchain_core.messages.tool
import time:       436 |        436 |                       langchain_core.utils.json
import time:       136 |        136 |                       langchain_core.utils.usage
import time:      8382 |      12330 |                     langchain_core.messages.ai
import time:       230 |        230 |                         langchain_core.messages.block_translators.anthropic
import time:       120 |        120 |                         langchain_core.messages.block_translators.bedrock
import time:       143 |        143 |                         langchain_core.messages.block_translators.bedrock_converse
import time:        97 |         97 |                                     filetype.types.base
import time:      1200 |       1297 |                                   filetype.types.archive
import time:       152 |        152 |                                   filetype.types.audio
import time:        80 |         80 |                                   filetype.types.application
import time:       193 |        193 |                                   filetype.types.document
import time:       108 |        108 |                                   filetype.types.font
import time:       113 |        113 |                                     filetype.types.isobmff
import time:       272 |        385 |                                   filetype.types.image
import time:       172 |        172 |                                   filetype.types.video
import time:       328 |       2711 |                                 filetype.types
